Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2018010081988,1,1,1,1,23,5,3,0,0,0,0,0,9,1,2
2018010081993,1,1,1,1,34,6,3,0,0,0,0,0,1,1,1
2018010081996,2,1,1,1,53,8,2,0,0,0,0,0,3,1,4
2018010082012,2,1,1,1,61,9,3,0,0,0,0,0,9,1,7
2018010082012,2,2,2,2,64,9,3,0,0,1,0,0,9,1,7
2018010082013,3,1,1,2,31,6,3,0,0,0,0,0,9,1,4
2018010082015,1,1,3,1,15,3,2,5,3,0,0,2,0,1,10
2018010082016,1,1,1,1,43,7,3,0,0,0,0,0,9,1,2
2018010082018,3,1,1,2,54,8,3,0,0,0,0,0,9,1,9
2018010082022,1,1,1,2,59,9,3,0,0,0,0,0,9,1,4
2018010082022,1,2,2,1,7,2,3,0,0,2,0,0,9,1,4
2018010082027,2,1,1,2,51,8,3,0,0,0,0,0,9,1,3
2018010082029,1,1,3,1,54,8,3,10,9,0,0,2,0,1,3
2018010082033,2,1,1,1,18,4,3,0,0,0,0,0,3,1,7
2018010082037,2,1,1,1,56,9,3,0,0,0,0,0,1,1,1
2018010082040,1,1,1,2,24,5,3,0,0,0,0,0,9,1,4
2018010082040,2,2,1,2,24,5,3,0,0,0,0,0,9,1,6
2018010082041,1,1,2,2,17,4,2,0,0,0,0,0,3,1,3
2018010082043,1,1,1,1,27,6,3,0,0,0,0,0,4,1,2
2018010082044,1,1,1,2,50,8,2,0,0,0,0,0,9,1,2
2018010082045,1,1,3,1,55,8,3,5,9,0,0,2,0,1,2
2018010082050,1,1,1,1,58,9,3,0,0,0,0,0,5,1,6
